epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,51.2436,0.77848,1.83585,1.99933,1.22527,0.94441,0.78752,0.91015,0.6638,0.94441,0.78752,0.91015,0.59243,0.96584,1.30138,1.43004,1.43587,0.0002822,0.0002822,0.0002822
46,52.7266,0.75082,1.84753,2.01078,1.19857,0.91061,0.80524,0.90794,0.66286,0.91061,0.80524,0.90794,0.58669,0.94295,1.29768,1.41315,1.42102,0.00027725,0.00027725,0.00027725
47,54.0191,0.77581,1.96649,1.98738,1.24994,0.91061,0.80524,0.90794,0.66286,0.91061,0.80524,0.90794,0.58669,0.94295,1.29768,1.41315,1.42102,0.0002723,0.0002723,0.0002723
48,55.2136,0.77178,1.85711,1.98032,1.24133,0.90708,0.84702,0.90574,0.67814,0.90708,0.84702,0.90574,0.6018,0.94193,1.28368,1.39147,1.42675,0.00026735,0.00026735,0.00026735
49,56.4734,0.759,1.82547,1.89619,1.22535,0.96112,0.85069,0.93052,0.70586,0.96112,0.85069,0.92906,0.61473,0.94715,1.27097,1.35283,1.43299,0.0002624,0.0002624,0.0002624
50,57.7575,0.80234,1.91543,1.95584,1.28451,0.92009,0.85069,0.92434,0.68554,0.92009,0.85069,0.92434,0.60436,0.96145,1.26347,1.33078,1.45455,0.00025745,0.00025745,0.00025745
51,58.7963,0.79122,1.91893,1.89114,1.25254,0.95028,0.85069,0.93471,0.70298,0.95028,0.85069,0.93471,0.6169,0.94871,1.26281,1.2968,1.4467,0.0002525,0.0002525,0.0002525
52,59.9681,0.80204,1.89304,1.86772,1.24936,0.94175,0.85069,0.93838,0.70623,0.94175,0.85069,0.93838,0.62108,0.9515,1.26389,1.28953,1.4418,0.00024755,0.00024755,0.00024755
53,61.1495,0.72808,1.79081,1.8811,1.21856,0.94553,0.85069,0.93936,0.70524,0.94553,0.85069,0.93936,0.61593,0.96006,1.26549,1.27551,1.44241,0.0002426,0.0002426,0.0002426
54,62.4614,0.80192,1.86449,1.86891,1.26398,0.94377,0.85069,0.94009,0.68768,0.94377,0.85069,0.94009,0.60898,0.96568,1.27999,1.27941,1.4441,0.00023765,0.00023765,0.00023765
